period,cultural_significance,count,examples
2014-2021 (anexión Crimea),Arte Nacional,28,|The widow; |The old house; |By the mill
2014-2021 (anexión Crimea),Historia Militar,8,"|Details of military equipment, costume made of bronze; |Detail of military ammunition; |Detail of military equipment, costume made of bronze"
2014-2021 (anexión Crimea),Otros,371,|Fragment of a marble tombstone; |Limestone slab with relief of Hercules; |Limestone sarcophagus with an inscription
2014-2021 (anexión Crimea),Patrimonio Arqueológico,360,|Fragments of tiles; |Fragment of a white clay smoking pipe; |A fragment of a tile with a Latin mark
2014-2021 (anexión Crimea),Religioso/Identitario,21,|Cyril's Church; |Cross with frame for insertion; |Metal cross
2022-2025 (invasión a gran escala),Arte Nacional,1159,|A decorative panel. Tomatoes in a vase; |Cossacks in the steppe / Kozaky v stepu; |Party / Vechirka
2022-2025 (invasión a gran escala),Documentos Históricos,1,|Torah
2022-2025 (invasión a gran escala),Historia Militar,7,|Saber from Odesa; |Arrowheads; |Schiavona
2022-2025 (invasión a gran escala),Otros,101,"|Tiles with linear geometric designs; |Terracotta head of a ""barbarian""; |Sculpture in the form of a female torso"
2022-2025 (invasión a gran escala),Patrimonio Arqueológico,77,|Vessel with ornament; |Collection of ceramic household items; |Collection of ceramic household items
2022-2025 (invasión a gran escala),Religioso/Identitario,19,|Sedniv. Old church / Sedniev. Stara Tserkva; |Thaw. Imported church in Kherson / Vidlyha. Pryvizna tserkva u Khersoni; |View of St. Nicholas Church in Prague / Vyd tserkvy Sv. Mykolaia u Prazi
Fecha desconocida,Arte Nacional,48,|Bakhchisarai landscape / Bakhchysaraiskii peizazh; |End of summer / Kinets lita; |Spring 1945 / Vesna 1945
Fecha desconocida,Historia Militar,5,|A sword with a ring tip; |Hatchet; |Swords with notches at the heel of the blade
Fecha desconocida,Otros,69,|Tug; |Belt tip № 1; |Belt tip № 2
Fecha desconocida,Patrimonio Arqueológico,10,|Ribbed smoker; |Smoker on a stem №1; |The vessel is stucco two-handed
Fecha desconocida,Religioso/Identitario,1,|Mexicans near the church / Meksykantsi bilia tserkvy
Pre-2014 (antes anexión Crimea),Otros,2,|Fofors coin; |Coin of Constantine I
